number,contact_type,u_wait_reason,assignment_group,closed_at,resolved_at,u_subcategory,u_symptom,opened_at,sys_mod_count,reassignment_count
INC0117062,Email,,Service Desk,6/4/22 10:00,6/1/22 10:00,Desktop Application,Install/New,5/23/22 11:10,10,0
INC0117074,Email,,Student Computing,6/4/22 10:00,6/1/22 10:00,General Information,How To/Question,5/24/22 9:24,6,0
INC0117168,Email,,Service Desk,6/3/22 18:00,5/31/22 18:00,College Account/Identity Mgmt,Password,5/27/22 15:30,5,0
INC0117184,Email,,Service Desk,6/3/22 17:00,5/31/22 17:00,Desktop Application,Configure/Modify,5/31/22 9:37,3,0
INC0117180,Email,,Service Desk,6/3/22 17:00,5/31/22 17:00,Monitor,Configure/Modify,5/31/22 9:19,4,0
INC0117213,Self-service,,Service Desk,6/3/22 17:00,5/31/22 17:00,Desktop Application,How To/Question,5/31/22 16:04,2,0
INC0117175,Self-service,,Service Desk,6/3/22 17:00,5/31/22 17:00,College Account/Identity Mgmt,How To/Question,5/30/22 23:52,5,0
INC0117163,Email,,Service Desk,6/3/22 17:00,5/31/22 17:00,Computer (Desktop/Laptop),How To/Question,5/27/22 12:36,4,1
INC0117041,Email,,Student Computing,6/3/22 17:00,5/31/22 17:00,WebAdvisor,Error/Bug,5/20/22 14:05,4,0
INC0117165,Phone,,Student Computing,6/3/22 16:00,5/31/22 16:00,Desktop Application,Configure/Modify,5/27/22 14:01,4,0
INC0117173,Email,,Student Computing,6/3/22 16:00,5/31/22 16:00,General Information,How To/Question,5/28/22 15:52,6,0
INC0117065,Email,,Student Computing,6/3/22 16:00,5/31/22 16:00,General Information,How To/Question,5/23/22 12:18,11,0
INC0117199,Email,,Service Desk,6/3/22 15:00,5/31/22 15:00,Desktop Application,Configure/Modify,5/31/22 12:58,2,0
INC0117207,Self-service,,Service Desk,6/3/22 15:00,5/31/22 15:00,Desktop Application,How To/Question,5/31/22 14:19,6,0
INC0117203,Phone,,Service Desk,6/3/22 15:00,5/31/22 15:00,College Account/Identity Mgmt,Error/Bug,5/31/22 13:31,2,0
INC0117200,Phone,,Service Desk,6/3/22 14:00,5/31/22 14:00,College Account/Identity Mgmt,Password,5/31/22 13:23,1,0
INC0117198,Self-service,,Service Desk,6/3/22 14:00,5/31/22 14:00,Peripheral,Install/New,5/31/22 12:41,4,0
INC0117187,Phone,,Service Desk,6/3/22 14:00,5/31/22 14:00,College Account/Identity Mgmt,Error/Bug,5/31/22 10:18,3,0
INC0117189,Self-service,,Systems,6/3/22 12:00,5/31/22 12:00,Google Docs/Drive,Configure/Modify,5/31/22 10:18,8,1
INC0117194,Phone,,Service Desk,6/3/22 12:00,5/31/22 12:00,Desktop Application,Configure/Modify,5/31/22 11:09,1,0
INC0117188,Phone,,Service Desk,6/3/22 11:00,5/31/22 11:00,College Account/Identity Mgmt,Error/Bug,5/31/22 10:18,1,0
INC0117186,Walk-in,,Service Desk,6/3/22 11:00,5/31/22 11:00,Desktop Application,Configure/Modify,5/31/22 10:05,1,0
INC0117179,Phone,,Service Desk,6/3/22 10:00,5/31/22 10:00,College Account/Identity Mgmt,Password,5/31/22 9:12,1,0
INC0117072,Email,,Student Computing,6/3/22 10:00,5/31/22 10:00,General Information,How To/Question,5/23/22 17:02,10,0
INC0116982,Phone,,Student Computing,6/3/22 10:00,5/31/22 10:00,College Account/Identity Mgmt,Configure/Modify,5/18/22 11:11,6,0
INC0117185,Phone,,Service Desk,6/3/22 10:00,5/31/22 10:00,Desktop Application,Configure/Modify,5/31/22 9:56,1,0
INC0117183,Walk-in,,Service Desk,6/3/22 10:00,5/31/22 10:00,College Account/Identity Mgmt,Error/Bug,5/31/22 9:34,1,0
INC0113504,Email,Waiting for Pickup,Service Desk,,,Peripheral,Install/New,1/4/22 13:21,30,0
INC0117002,Email,,Service Desk,6/2/22 12:00,5/30/22 12:00,OS,How To/Question,5/19/22 9:11,7,0
INC0116964,Email,,Student Computing,6/2/22 10:00,5/30/22 10:00,General Information,How To/Question,5/17/22 16:35,14,0
INC0116888,Email,,Information Security,5/30/22 16:00,5/27/22 16:00,VPN/Remote Access,Configure/Modify,5/12/22 11:50,17,3
INC0116976,Email,,Student Computing,5/30/22 16:00,5/27/22 16:00,Google Mail,How To/Question,5/18/22 9:33,4,0
INC0116887,Email,,Service Desk,5/30/22 15:00,5/27/22 15:00,Computer (Desktop/Laptop),Maintenance,5/12/22 11:25,6,1
INC0117030,Walk-in,,Service Desk,5/30/22 15:00,5/27/22 15:00,Computer (Desktop/Laptop),Configure/Modify,5/20/22 10:19,7,0
INC0117167,Phone,,Service Desk,5/30/22 15:00,5/27/22 15:00,Desktop Application,Error/Bug,5/27/22 14:38,1,0
INC0117000,Email,,Systems,5/30/22 15:00,5/27/22 15:00,Server,Configure/Modify,5/19/22 8:39,20,1
INC0115060,Email,,Service Desk,5/30/22 15:00,5/27/22 15:00,Computer (Desktop/Laptop),Install/New,2/23/22 12:05,25,6
INC0117128,Email,,Service Desk,5/30/22 11:00,5/27/22 11:00,College Account/Identity Mgmt,Configure/Modify,5/25/22 16:00,4,0
INC0116992,Email,,Service Desk,5/30/22 11:00,5/27/22 11:00,Other Google Service,Configure/Modify,5/18/22 14:47,4,0
INC0117131,Self-service,,Service Desk,5/30/22 11:00,5/27/22 11:00,Windows File Server (fs),Configure/Modify,5/25/22 16:39,3,0
INC0117156,Email,,Service Desk,5/30/22 11:00,5/27/22 11:00,Desktop Application,Configure/Modify,5/26/22 21:19,8,0
INC0117104,Email,,Service Desk,5/30/22 10:00,5/27/22 10:00,General Information,How To/Question,5/24/22 13:14,4,0
INC0117154,Email,,Service Desk,5/30/22 10:00,5/27/22 10:00,Windows File Server (fs),Configure/Modify,5/26/22 17:40,2,0
INC0116966,Email,,Service Desk,5/29/22 17:00,5/26/22 17:00,Wireless Network,Connectivity/Down,5/17/22 16:48,3,0
INC0117153,Email,,Service Desk,5/29/22 17:00,5/26/22 17:00,Google Mail,How To/Question,5/26/22 16:16,5,0
INC0117152,Email,,Service Desk,5/29/22 16:00,5/26/22 16:00,OS,Configure/Modify,5/26/22 15:16,4,0
INC0117143,Self-service,,Service Desk,5/29/22 16:00,5/26/22 16:00,Desktop Application,Configure/Modify,5/26/22 12:02,9,0
INC0116906,Email,,Service Desk,5/29/22 16:00,5/26/22 16:00,Wired Network,Configure/Modify,5/13/22 12:08,7,0
INC0116061,Self-service,,Service Desk,5/29/22 16:00,5/26/22 16:00,Computer (Desktop/Laptop),Replace/Upgrade,4/5/22 16:36,8,2
INC0116933,Self-service,,Student Computing,5/29/22 14:00,5/26/22 14:00,College Account/Identity Mgmt,How To/Question,5/16/22 11:50,11,1
INC0117087,Email,,Student Computing,5/29/22 14:00,5/26/22 14:00,General Information,How To/Question,5/24/22 9:56,5,0
INC0117147,Email,,Service Desk,5/29/22 14:00,5/26/22 14:00,General Information,How To/Question,5/26/22 13:09,2,0
INC0117056,Email,,Student Computing,5/29/22 14:00,5/26/22 14:00,College Account/Identity Mgmt,Configure/Modify,5/23/22 10:24,15,1
INC0117018,Email,,Service Desk,5/29/22 13:00,5/26/22 13:00,Phone/Fax/Credit Card Line,How To/Question,5/19/22 14:16,9,0
INC0116995,Email,,Service Desk,5/29/22 13:00,5/26/22 13:00,Peripheral,Install/New,5/18/22 15:56,2,0
INC0117137,Phone,,On-Site Team,5/29/22 13:00,5/26/22 13:00,Computer (Desktop/Laptop),Relocate/Transfer,5/26/22 11:03,2,0
INC0115526,Email,,Service Desk,5/29/22 12:00,5/26/22 12:00,Computer (Desktop/Laptop),Configure/Modify,3/14/22 13:34,12,0
INC0117135,Self-service,,Service Desk,5/29/22 11:00,5/26/22 11:00,OS,How To/Question,5/26/22 10:37,3,0
INC0117133,Phone,,Service Desk,5/29/22 11:00,5/26/22 11:00,OS,How To/Question,5/26/22 9:38,1,0
INC0117127,Self-service,,On-Site Team,5/29/22 11:00,5/26/22 11:00,Computer (Desktop/Laptop),Maintenance,5/25/22 15:57,2,0
INC0117113,Self-service,,On-Site Team,5/29/22 10:00,5/26/22 10:00,Wired Network,Connectivity/Down,5/25/22 9:59,5,1
INC0116096,Self-service,,Service Desk,5/29/22 10:00,5/26/22 10:00,Computer (Desktop/Laptop),Install/New,4/6/22 15:03,28,0
INC0116775,Email,,Systems,5/28/22 17:00,5/25/22 17:00,College Account/Identity Mgmt,Configure/Modify,5/6/22 14:26,19,1
INC0117038,Self-service,,Student Computing,5/28/22 15:00,5/25/22 15:00,General Information,How To/Question,5/20/22 12:25,21,0
INC0117120,Self-service,,Service Desk,5/28/22 15:00,5/25/22 15:00,Windows File Server (fs),Configure/Modify,5/25/22 13:49,2,0
INC0117119,Phone,,Service Desk,5/28/22 14:00,5/25/22 14:00,College Account/Identity Mgmt,Error/Bug,5/25/22 13:44,1,0
INC0117114,Walk-in,,Service Desk,5/28/22 11:00,5/25/22 11:00,College Account/Identity Mgmt,Password,5/25/22 10:19,1,0
INC0116926,Email,,Project Management Office,5/28/22 10:00,5/25/22 10:00,Peripheral,Install/New,5/16/22 10:25,10,1
INC0116916,Email,,Student Computing,5/28/22 10:00,5/25/22 10:00,General Information,How To/Question,5/14/22 14:42,4,0
INC0117023,Email,,Enterprise Applications,5/27/22 17:00,5/24/22 17:00,ERP,Configure/Modify,5/19/22 16:55,7,1
INC0116828,Email,,Enterprise Applications,5/27/22 17:00,5/24/22 17:00,ERP,Configure/Modify,5/10/22 9:39,32,1
INC0117109,Email,,Service Desk,5/27/22 17:00,5/24/22 17:00,Other Google Service,Configure/Modify,5/24/22 15:33,4,0
INC0117111,Self-service,,Service Desk,5/27/22 16:00,5/24/22 16:00,Other Google Service,Configure/Modify,5/24/22 15:49,2,0
INC0117012,Walk-in,,Service Desk,5/27/22 15:00,5/24/22 15:00,OS,How To/Question,5/19/22 11:57,9,0
INC0117089,Email,,Service Desk,5/27/22 15:00,5/24/22 15:00,Google Mail,How To/Question,5/24/22 9:58,5,0
INC0117094,Email,,Service Desk,5/27/22 15:00,5/24/22 15:00,Portal,Error/Bug,5/24/22 10:44,4,0
INC0117099,Email,,Service Desk,5/27/22 14:00,5/24/22 14:00,General Information,How To/Question,5/24/22 12:20,8,0
INC0117098,Email,,Service Desk,5/27/22 14:00,5/24/22 14:00,Portal,How To/Question,5/24/22 12:20,5,0
INC0117103,Email,,Service Desk,5/27/22 14:00,5/24/22 14:00,Desktop Application,How To/Question,5/24/22 12:50,3,0
INC0117052,Email,,On-Site Team,5/27/22 14:00,5/24/22 14:00,Computer (Desktop/Laptop),Configure/Modify,5/23/22 9:50,7,1
INC0117095,Email,,Service Desk,5/27/22 13:00,5/24/22 13:00,Desktop Application,Configure/Modify,5/24/22 10:54,5,0
INC0116990,Self-service,,Enterprise Applications,5/27/22 13:00,5/24/22 13:00,Other/Not Listed,Configure/Modify,5/18/22 14:19,7,1
INC0117011,Email,,Service Desk,5/27/22 13:00,5/24/22 13:00,Computer (Desktop/Laptop),Install/New,5/19/22 11:50,4,0
INC0117101,Phone,,Service Desk,5/27/22 13:00,5/24/22 13:00,College Account/Identity Mgmt,Password,5/24/22 12:20,1,0
INC0117076,Phone,,Service Desk,5/27/22 12:00,5/24/22 12:00,Monitor,Broken/Not Working,5/24/22 9:38,4,2
INC0117079,Email,,Service Desk,5/27/22 11:00,5/24/22 11:00,Google Mail,How To/Question,5/24/22 9:40,2,0
INC0117091,Email,,Service Desk,5/27/22 11:00,5/24/22 11:00,Google Mail,How To/Question,5/24/22 10:04,2,0
INC0117085,Email,,Service Desk,5/27/22 11:00,5/24/22 11:00,Google Mail,How To/Question,5/24/22 9:50,2,0
INC0117092,Email,,Service Desk,5/27/22 11:00,5/24/22 11:00,Google Mail,How To/Question,5/24/22 10:06,6,0
INC0117078,Email,,Service Desk,5/27/22 11:00,5/24/22 11:00,Google Mail,How To/Question,5/24/22 9:39,3,0
INC0117073,Self-service,,Service Desk,5/27/22 11:00,5/24/22 11:00,Windows File Server (fs),Configure/Modify,5/24/22 9:02,8,0
INC0117080,Email,,Service Desk,5/27/22 11:00,5/24/22 11:00,Google Mail,How To/Question,5/24/22 9:42,2,0
INC0117081,Email,,Service Desk,5/27/22 11:00,5/24/22 11:00,Google Mail,How To/Question,5/24/22 9:45,2,0
INC0117082,Email,,Service Desk,5/27/22 11:00,5/24/22 11:00,Google Mail,How To/Question,5/24/22 9:46,2,0
INC0117083,Email,,Service Desk,5/27/22 11:00,5/24/22 11:00,Google Mail,How To/Question,5/24/22 9:49,2,0
INC0117084,Email,,Service Desk,5/27/22 11:00,5/24/22 11:00,Google Mail,How To/Question,5/24/22 9:49,2,0
INC0117088,Email,,Service Desk,5/27/22 11:00,5/24/22 11:00,Google Mail,How To/Question,5/24/22 9:56,2,0
INC0117090,Email,,Service Desk,5/27/22 11:00,5/24/22 11:00,College Account/Identity Mgmt,Error/Bug,5/24/22 10:02,2,0
INC0117046,Email,,Service Desk,5/27/22 11:00,5/24/22 11:00,Desktop Application,How To/Question,5/20/22 15:37,12,0
INC0117086,Email,,Service Desk,5/27/22 11:00,5/24/22 11:00,Google Mail,How To/Question,5/24/22 9:52,2,0
INC0117093,Email,,Service Desk,5/27/22 11:00,5/24/22 11:00,Google Mail,How To/Question,5/24/22 10:10,2,0
INC0117070,Phone,,Student Computing,5/27/22 10:00,5/24/22 10:00,General Information,How To/Question,5/23/22 16:19,4,0
INC0117075,Phone,,Service Desk,5/27/22 10:00,5/24/22 10:00,College Account/Identity Mgmt,Error/Bug,5/24/22 9:34,1,0
INC0117139,Self-service,,Service Desk,,,OS,Performance,5/26/22 11:12,5,0
INC0117039,Self-service,,Service Desk,5/26/22 18:00,5/23/22 18:00,Wireless Network,How To/Question,5/20/22 12:30,5,0
INC0116965,Email,,Systems,5/26/22 17:00,5/23/22 17:00,ERP,Error/Bug,5/17/22 16:35,21,4
INC0117068,Phone,,Service Desk,5/26/22 15:00,5/23/22 15:00,Office Printer,Configure/Modify,5/23/22 14:34,1,0
INC0116878,Email,,Service Desk,5/26/22 14:00,5/23/22 14:00,General Information,How To/Question,5/12/22 9:13,9,0
INC0116961,Email,,Service Desk,5/26/22 14:00,5/23/22 14:00,College Account/Identity Mgmt,Configure/Modify,5/17/22 12:42,8,0
INC0117035,Email,,Service Desk,5/26/22 13:00,5/23/22 13:00,General Information,How To/Question,5/20/22 11:22,5,0
INC0117021,Phone,,On-Site Team,5/26/22 13:00,5/23/22 13:00,Peripheral,Install/New,5/19/22 15:35,2,0
INC0116978,Email,,Networks,5/26/22 12:00,5/23/22 12:00,Wired Network,Configure/Modify,5/18/22 10:34,9,1
INC0117055,Email,,Service Desk,5/26/22 11:00,5/23/22 11:00,College Account/Identity Mgmt,Error/Bug,5/23/22 10:16,2,0
INC0117036,Email,,Service Desk,5/26/22 11:00,5/23/22 11:00,College Account/Identity Mgmt,Configure/Modify,5/20/22 12:00,5,0
INC0116697,Email,,Enterprise Applications,5/26/22 11:00,5/23/22 11:00,College Account/Identity Mgmt,Configure/Modify,5/3/22 12:07,9,0
INC0117054,Email,,Service Desk,5/26/22 11:00,5/23/22 11:00,Bogus/Duplicate Record,Maintenance,5/23/22 10:16,4,0
INC0116883,Self-service,,Service Desk,5/26/22 11:00,5/23/22 11:00,Computer (Desktop/Laptop),Replace/Upgrade,5/12/22 10:26,3,0
INC0117057,Phone,,Service Desk,5/26/22 11:00,5/23/22 11:00,College Account/Identity Mgmt,Error/Bug,5/23/22 10:24,1,0
INC0116852,Email,,Service Desk,5/23/22 18:00,5/20/22 18:00,Computer (Desktop/Laptop),Configure/Modify,5/10/22 19:12,16,4
INC0117049,Phone,,Service Desk,5/23/22 18:00,5/20/22 18:00,College Account/Identity Mgmt,Password,5/20/22 17:52,1,0
INC0116885,Email,,Service Desk,5/23/22 17:00,5/20/22 17:00,College Account/Identity Mgmt,Configure/Modify,5/12/22 10:29,12,0
INC0117047,Phone,,Service Desk,5/23/22 17:00,5/20/22 17:00,College Account/Identity Mgmt,Error/Bug,5/20/22 16:48,1,0
INC0117009,Email,,Student Computing,5/23/22 16:00,5/20/22 16:00,College Account/Identity Mgmt,Password,5/19/22 11:18,7,1
INC0117043,Phone,,Service Desk,5/23/22 16:00,5/20/22 16:00,Desktop Application,Error/Bug,5/20/22 15:03,1,0
INC0117019,Email,,Service Desk,5/23/22 13:00,5/20/22 13:00,Google Mail,How To/Question,5/19/22 14:18,3,0
INC0117026,Email,,Systems,5/23/22 12:00,5/20/22 12:00,OS,Remove/Delete,5/20/22 9:19,8,0
INC0117027,Phone,,Service Desk,5/23/22 11:00,5/20/22 11:00,Computer (Desktop/Laptop),Broken/Not Working,5/20/22 9:47,1,0
INC0117028,Phone,,Service Desk,5/23/22 11:00,5/20/22 11:00,Desktop Application,Configure/Modify,5/20/22 10:15,1,0
INC0117031,Email,,Service Desk,5/23/22 11:00,5/20/22 11:00,General Information,How To/Question,5/20/22 10:25,3,0
INC0116988,Email,,Student Computing,5/23/22 10:00,5/20/22 10:00,College Account/Identity Mgmt,Configure/Modify,5/18/22 13:22,6,0
INC0116839,Phone,,Student Computing,5/23/22 10:00,5/20/22 10:00,Desktop Application,How To/Question,5/10/22 14:56,6,0
INC0117006,Phone,,Service Desk,5/23/22 10:00,5/20/22 10:00,OS,How To/Question,5/19/22 9:38,9,0
INC0117025,Email,,Networks,5/23/22 10:00,5/20/22 10:00,VPN/Remote Access,Configure/Modify,5/19/22 19:52,7,1
INC0117017,Email,,Service Desk,5/22/22 21:00,5/19/22 21:00,Desktop Application,Error/Bug,5/19/22 14:06,3,0
INC0117024,Phone,,Service Desk,5/22/22 21:00,5/19/22 21:00,College Account/Identity Mgmt,Password,5/19/22 18:25,3,0
INC0116904,Self-service,,Service Desk,5/22/22 17:00,5/19/22 17:00,Desktop Application,Configure/Modify,5/13/22 10:44,3,0
INC0116918,Email,,Service Desk,5/22/22 17:00,5/19/22 17:00,Desktop Application,Configure/Modify,5/16/22 3:56,3,0
INC0116997,Email,,Service Desk,5/22/22 16:00,5/19/22 16:00,Desktop Application,Install/New,5/18/22 16:39,6,0
INC0116842,Email,,Student Computing,5/22/22 16:00,5/19/22 16:00,Courseworks,Error/Bug,5/10/22 15:08,4,0
INC0114598,Self-service,,Service Desk,5/22/22 16:00,5/19/22 16:00,Computer (Desktop/Laptop),Configure/Modify,2/7/22 16:53,7,0
INC0116834,Email,,Student Computing,5/22/22 15:00,5/19/22 15:00,College Account/Identity Mgmt,Connectivity/Down,5/10/22 12:48,5,1
INC0117020,Phone,,Service Desk,5/22/22 15:00,5/19/22 15:00,Desktop Application,How To/Question,5/19/22 14:37,1,0
INC0116820,Email,,Information Security,5/22/22 13:00,5/19/22 13:00,Desktop Application,Configure/Modify,5/9/22 16:37,10,1
INC0116967,Email,,Service Desk,5/22/22 13:00,5/19/22 13:00,Workday,How To/Question,5/17/22 17:06,3,0
INC0116954,Self-service,,Service Desk,5/22/22 13:00,5/19/22 13:00,Desktop Application,Configure/Modify,5/17/22 9:26,7,0
INC0117010,Email,,Service Desk,5/22/22 13:00,5/19/22 13:00,Desktop Application,Configure/Modify,5/19/22 11:34,5,0
INC0114139,Email,,Service Desk,5/22/22 13:00,5/19/22 13:00,Monitor,Install/New,1/25/22 10:52,17,2
INC0116512,Email,,Information Security,5/22/22 13:00,5/19/22 13:00,General Information,How To/Question,4/25/22 12:58,6,1
INC0116983,Email,,Student Computing,5/22/22 12:00,5/19/22 12:00,College Account/Identity Mgmt,Configure/Modify,5/18/22 11:32,5,1
INC0116919,Email,,Service Desk,5/22/22 12:00,5/19/22 12:00,Desktop Application,Configure/Modify,5/16/22 7:37,4,0
INC0116908,Email,,Service Desk,5/22/22 11:00,5/19/22 11:00,College Account/Identity Mgmt,Configure/Modify,5/13/22 12:50,7,0
INC0116979,Phone,,Service Desk,5/22/22 11:00,5/19/22 11:00,College Account/Identity Mgmt,Configure/Modify,5/18/22 11:04,2,0
INC0117007,Phone,,Service Desk,5/22/22 11:00,5/19/22 11:00,VPN/Remote Access,Connectivity/Down,5/19/22 9:50,1,0
INC0117008,Phone,,Service Desk,5/22/22 11:00,5/19/22 11:00,College Account/Identity Mgmt,Password,5/19/22 10:12,1,0
INC0116941,Self-service,,Service Desk,5/22/22 11:00,5/19/22 11:00,Workday,How To/Question,5/16/22 13:35,4,0
INC0116907,Email,,Networks,5/22/22 10:00,5/19/22 10:00,Wired Network,Configure/Modify,5/13/22 12:44,18,1
INC0117003,Phone,,Service Desk,5/22/22 10:00,5/19/22 10:00,Office Printer,Configure/Modify,5/19/22 9:15,1,0
INC0117004,Phone,,Service Desk,5/22/22 10:00,5/19/22 10:00,College Account/Identity Mgmt,Error/Bug,5/19/22 9:28,1,0
INC0117001,Email,,Service Desk,5/22/22 10:00,5/19/22 10:00,College Account/Identity Mgmt,Error/Bug,5/19/22 9:01,2,0
INC0117005,Email,,Service Desk,5/22/22 10:00,5/19/22 10:00,OS,Error/Bug,5/19/22 9:37,2,0
INC0116999,Email,,Student Computing,5/22/22 10:00,5/19/22 10:00,College Account/Identity Mgmt,How To/Question,5/19/22 0:27,3,0
INC0116917,Self-service,,Service Desk,5/21/22 18:00,5/18/22 18:00,Computer (Desktop/Laptop),Configure/Modify,5/15/22 10:12,4,2
INC0116963,Self-service,,Service Desk,5/21/22 18:00,5/18/22 18:00,Bogus/Duplicate Record,Maintenance,5/17/22 15:50,3,0
INC0116993,Self-service,,Service Desk,5/21/22 18:00,5/18/22 18:00,Desktop Application,Configure/Modify,5/18/22 15:21,4,0
INC0115687,Email,,Service Desk,5/21/22 18:00,5/18/22 18:00,Computer (Desktop/Laptop),Configure/Modify,3/21/22 17:17,9,0
INC0116666,Email,,Service Desk,5/21/22 18:00,5/18/22 18:00,Desktop Application,Configure/Modify,5/2/22 10:04,10,0
INC0115930,Self-service,,Service Desk,5/21/22 18:00,5/18/22 18:00,Computer (Desktop/Laptop),Install/New,3/30/22 12:26,24,3
INC0116996,Walk-in,,Service Desk,5/21/22 17:00,5/18/22 17:00,MFA,Configure/Modify,5/18/22 16:20,1,0
INC0116991,Self-service,,Service Desk,5/21/22 17:00,5/18/22 17:00,OS,How To/Question,5/18/22 14:47,2,0
INC0116896,Email,,Student Computing,5/21/22 17:00,5/18/22 17:00,General Information,How To/Question,5/12/22 16:39,18,0
INC0114681,Email,,Service Desk,5/21/22 17:00,5/18/22 17:00,Computer (Desktop/Laptop),Install/New,2/10/22 11:25,19,2
INC0116980,Email,,Student Computing,5/21/22 16:00,5/18/22 16:00,College Account/Identity Mgmt,Password,5/18/22 11:08,4,1
INC0116970,Email,,Student Computing,5/21/22 16:00,5/18/22 16:00,General Information,How To/Question,5/17/22 17:48,3,0
INC0116972,Email,,Student Computing,5/21/22 16:00,5/18/22 16:00,General Information,How To/Question,5/17/22 19:50,7,0
INC0116816,Email,,Student Computing,5/21/22 15:00,5/18/22 15:00,College Account/Identity Mgmt,How To/Question,5/9/22 14:21,3,0
INC0116989,Walk-in,,Service Desk,5/21/22 15:00,5/18/22 15:00,Computer (Desktop/Laptop),Broken/Not Working,5/18/22 13:43,4,0
INC0116959,Email,,Student Computing,5/21/22 15:00,5/18/22 15:00,College Account/Identity Mgmt,Configure/Modify,5/17/22 11:48,3,0
INC0116962,Email,,Student Computing,5/21/22 15:00,5/18/22 15:00,General Information,How To/Question,5/17/22 14:13,3,0
INC0116782,Email,,Service Desk,5/21/22 13:00,5/18/22 13:00,Desktop Application,Error/Bug,5/7/22 10:07,5,0
INC0116987,Phone,,Service Desk,5/21/22 13:00,5/18/22 13:00,College Account/Identity Mgmt,Password,5/18/22 12:47,1,0
INC0116986,Self-service,,Service Desk,5/21/22 13:00,5/18/22 13:00,OS,How To/Question,5/18/22 12:21,4,0
INC0116730,Phone,,Service Desk,5/21/22 10:00,5/18/22 10:00,Desktop Application,Configure/Modify,5/4/22 12:33,8,0
INC0116968,Phone,,Service Desk,5/21/22 10:00,5/18/22 10:00,Computer (Desktop/Laptop),Remove/Delete,5/17/22 17:40,2,1
INC0116974,Phone,,Service Desk,5/21/22 10:00,5/18/22 10:00,Desktop Application,Configure/Modify,5/18/22 9:06,1,0
INC0116786,Self-service,,Student Computing,5/21/22 10:00,5/18/22 10:00,Wireless Network,How To/Question,5/8/22 18:28,4,0
INC0116498,Email,,Enterprise Applications,5/21/22 10:00,5/18/22 10:00,ERP,Configure/Modify,4/25/22 10:59,16,1
INC0116668,Email,,Student Computing,5/21/22 10:00,5/18/22 10:00,WebAdvisor,Error/Bug,5/2/22 10:54,13,0
INC0116973,Email,,Student Computing,5/21/22 9:00,5/18/22 9:00,General Information,How To/Question,5/18/22 0:45,3,0
INC0116791,Email,,Service Desk,5/20/22 18:00,5/17/22 18:00,College Account/Identity Mgmt,Password,5/9/22 5:16,4,0
INC0116227,Email,,Service Desk,5/20/22 17:00,5/17/22 17:00,Computer (Desktop/Laptop),Configure/Modify,4/12/22 16:52,5,0
INC0116813,Email,,Enterprise Applications,5/20/22 16:00,5/17/22 16:00,Other/Not Listed,Error/Bug,5/9/22 13:44,7,1
INC0116953,Self-service,,Service Desk,5/20/22 16:00,5/17/22 16:00,Phone/Fax/Credit Card Line,How To/Question,5/16/22 17:27,4,0
INC0116934,Email,,On-Site Team,5/20/22 15:00,5/17/22 15:00,Computer (Desktop/Laptop),Relocate/Transfer,5/16/22 12:02,9,1
INC0116700,Email,,Service Desk,5/20/22 15:00,5/17/22 15:00,OS,How To/Question,5/3/22 13:21,7,0
INC0116773,Self-service,,Student Computing,5/20/22 14:00,5/17/22 14:00,College Account/Identity Mgmt,How To/Question,5/6/22 13:26,6,0
INC0116958,Self-service,,Service Desk,5/20/22 13:00,5/17/22 13:00,Windows File Server (fs),Configure/Modify,5/17/22 11:35,2,0
INC0116960,Walk-in,,Service Desk,5/20/22 13:00,5/17/22 13:00,Desktop Application,Install/New,5/17/22 12:05,1,0
INC0116929,Email,,Service Desk,5/20/22 13:00,5/17/22 13:00,Computer (Desktop/Laptop),Broken/Not Working,5/16/22 11:27,7,0
INC0116913,Email,,Service Desk,5/20/22 12:00,5/17/22 12:00,General Information,How To/Question,5/13/22 16:53,7,0
INC0116749,Email,,Service Desk,5/20/22 12:00,5/17/22 12:00,Phone/Fax/Credit Card Line,Connectivity/Down,5/5/22 13:19,9,2
INC0116956,Phone,,Service Desk,5/20/22 12:00,5/17/22 12:00,Office Printer,Error/Bug,5/17/22 11:19,1,0
INC0116951,Email,,Networks,5/20/22 10:00,5/17/22 10:00,Wired Network,Configure/Modify,5/16/22 16:41,7,1
INC0116950,Email,,Student Computing,5/19/22 17:00,5/16/22 17:00,Google Docs/Drive,Configure/Modify,5/16/22 16:35,4,1
INC0116867,Self-service,,Enterprise Applications,5/19/22 17:00,5/16/22 17:00,Other/Not Listed,Configure/Modify,5/11/22 14:13,6,1
INC0116943,Email,,Service Desk,5/19/22 17:00,5/16/22 17:00,Windows File Server (fs),Configure/Modify,5/16/22 13:38,4,0
INC0116948,Walk-in,,Service Desk,5/19/22 16:00,5/16/22 16:00,College Account/Identity Mgmt,Password,5/16/22 15:40,1,0
INC0116942,Email,,Service Desk,5/19/22 16:00,5/16/22 16:00,Desktop Application,Configure/Modify,5/16/22 13:36,9,0
INC0116923,Walk-in,,Service Desk,5/19/22 15:00,5/16/22 15:00,College Account/Identity Mgmt,Password,5/16/22 10:02,1,0
INC0116946,Walk-in,,Service Desk,5/19/22 15:00,5/16/22 15:00,MFA,Configure/Modify,5/16/22 14:22,1,0
INC0116747,Email,,Service Desk,5/13/22 11:00,5/10/22 11:00,Desktop Application,How To/Question,5/5/22 11:15,4,0
INC0116799,Walk-in,,Enterprise Applications,5/19/22 14:00,5/16/22 14:00,College Account/Identity Mgmt,Error/Bug,5/9/22 10:05,14,1
